a : 966.0000, 0 -> 4
b : -827.0000, 0 -> 3
c : 389.0000, 0 -> 3
d : 911.0000, 0 -> 6
a : 2.0000, 1 -> 2
b : -825.0000, 1 -> 0
c : -128.0000, 1 -> 6
d : 648.0000, 1 -> 3
a : -925.0000, 2 -> 7
b : -484.0000, 2 -> 5
c : 879.0000, 2 -> 0
d : 807.0000, 2 -> 1
a : 844.0000, 3 -> 4
b : -829.0000, 3 -> 7
c : -312.0000, 3 -> 6
d : -643.0000, 3 -> 7
a : 967.0000, 4 -> 4
b : -330.0000, 4 -> 0
c : 438.0000, 4 -> 3
d : 400.0000, 4 -> 2
a : 431.0000, 5 -> 2
b : -315.0000, 5 -> 3
c : 755.0000, 5 -> 1
d : -357.0000, 5 -> 4
a : 576.0000, 6 -> 4
b : 635.0000, 6 -> 6
c : 202.0000, 6 -> 4
d : -125.0000, 6 -> 6
a : 886.0000, 7 -> 1
b : -497.0000, 7 -> 4
c : 544.0000, 7 -> 3
d : 950.0000, 7 -> 2
d : 959.0000, 0 -> 3
a : 704.0000, 0 -> 0
d : 767.0000, 1 -> 7
b : -343.0000, 1 -> 4
d : -886.0000, 2 -> 5
d : -453.0000, 2 -> 6
a : 501.0000, 3 -> 3
a : 251.0000, 3 -> 2
a : -926.0000, 4 -> 7
d : -739.0000, 4 -> 5
a : 995.0000, 5 -> 7
d : 50.0000, 5 -> 6
c : -370.0000, 6 -> 1
a : -127.0000, 6 -> 1
c : -281.0000, 7 -> 4
c : -662.0000, 7 -> 5
