a : -146.0000, 0 -> 0
b : -819.0000, 0 -> 4
a : 992.0000, 1 -> 3
b : -333.0000, 1 -> 1
a : -90.0000, 2 -> 7
b : 764.0000, 2 -> 7
a : 976.0000, 3 -> 3
b : 222.0000, 3 -> 5
a : 947.0000, 4 -> 7
b : -243.0000, 4 -> 6
a : 668.0000, 5 -> 2
b : 605.0000, 5 -> 0
a : -840.0000, 6 -> 3
b : 525.0000, 6 -> 5
a : -524.0000, 7 -> 4
b : -452.0000, 7 -> 4
b : -718.0000, 0 -> 2
b : 351.0000, 1 -> 7
b : -845.0000, 2 -> 3
a : -454.0000, 3 -> 5
b : -925.0000, 4 -> 3
a : 998.0000, 5 -> 7
a : 403.0000, 6 -> 5
a : 722.0000, 7 -> 1
