a : -207.0000, 0 -> 2
b : 383.0000, 0 -> 7
c : 942.0000, 0 -> 1
d : -774.0000, 0 -> 4
a : 725.0000, 1 -> 0
b : 495.0000, 1 -> 1
c : 266.0000, 1 -> 0
d : -267.0000, 1 -> 2
a : -582.0000, 2 -> 5
b : -403.0000, 2 -> 5
c : 39.0000, 2 -> 2
d : 241.0000, 2 -> 4
a : 885.0000, 3 -> 0
b : 632.0000, 3 -> 6
c : 513.0000, 3 -> 7
d : -910.0000, 3 -> 2
a : 540.0000, 4 -> 4
b : 267.0000, 4 -> 7
c : 396.0000, 4 -> 3
d : 545.0000, 4 -> 3
a : 917.0000, 5 -> 7
b : 193.0000, 5 -> 0
c : -540.0000, 5 -> 0
d : 767.0000, 5 -> 4
a : 987.0000, 6 -> 1
b : 52.0000, 6 -> 6
c : -545.0000, 6 -> 5
d : 243.0000, 6 -> 6
a : 61.0000, 7 -> 4
b : -687.0000, 7 -> 2
c : 927.0000, 7 -> 6
d : 866.0000, 7 -> 0
d : -340.0000, 0 -> 6
a : -34.0000, 0 -> 6
b : -722.0000, 1 -> 4
d : 327.0000, 1 -> 4
d : -966.0000, 2 -> 3
c : 751.0000, 2 -> 6
d : -909.0000, 3 -> 7
c : -213.0000, 3 -> 4
d : 212.0000, 4 -> 5
a : -791.0000, 4 -> 5
d : -251.0000, 5 -> 3
a : -505.0000, 5 -> 0
b : 444.0000, 6 -> 2
a : 114.0000, 6 -> 4
c : 197.0000, 7 -> 3
b : -635.0000, 7 -> 7
