a : -873.0000, 0 -> 2
b : 465.0000, 0 -> 0
a : 790.0000, 1 -> 6
b : -788.0000, 1 -> 3
a : -541.0000, 2 -> 6
b : -143.0000, 2 -> 0
a : -772.0000, 3 -> 7
b : -794.0000, 3 -> 6
a : -620.0000, 4 -> 2
b : 715.0000, 4 -> 2
a : 670.0000, 5 -> 2
b : -565.0000, 5 -> 2
a : -435.0000, 6 -> 3
b : 953.0000, 6 -> 7
a : -647.0000, 7 -> 7
b : 141.0000, 7 -> 3
a : -546.0000, 0 -> 0
a : 863.0000, 1 -> 2
a : 17.0000, 2 -> 5
a : -113.0000, 3 -> 0
a : 587.0000, 4 -> 5
a : -946.0000, 5 -> 4
a : -778.0000, 6 -> 7
b : 654.0000, 7 -> 5
a : 45.0000, 7 -> 1
