a : -381.0000, 0 -> 4
b : -794.0000, 0 -> 3
a : -222.0000, 1 -> 0
b : 837.0000, 1 -> 3
a : 46.0000, 2 -> 4
b : 120.0000, 2 -> 5
a : -487.0000, 3 -> 4
b : -570.0000, 3 -> 2
a : 65.0000, 4 -> 2
b : -942.0000, 4 -> 0
a : -860.0000, 5 -> 4
b : -53.0000, 5 -> 1
a : -199.0000, 6 -> 4
b : 679.0000, 6 -> 5
a : 841.0000, 7 -> 3
b : -824.0000, 7 -> 1
a : 725.0000, 0 -> 3
a : -647.0000, 1 -> 2
a : -361.0000, 2 -> 0
a : 446.0000, 3 -> 6
a : -73.0000, 4 -> 7
a : 74.0000, 5 -> 5
b : 704.0000, 6 -> 1
a : 250.0000, 7 -> 5
