a : -450.0000, 0 -> 1
b : 870.0000, 0 -> 1
a : 728.0000, 1 -> 6
b : -130.0000, 1 -> 6
a : -996.0000, 2 -> 0
b : 745.0000, 2 -> 6
a : 734.0000, 3 -> 0
b : 26.0000, 3 -> 6
a : 420.0000, 4 -> 0
b : 966.0000, 4 -> 7
a : 430.0000, 5 -> 1
b : -675.0000, 5 -> 0
a : 311.0000, 6 -> 0
b : 149.0000, 6 -> 3
a : 541.0000, 7 -> 2
b : 537.0000, 7 -> 0
a : 693.0000, 0 -> 3
b : -545.0000, 1 -> 1
b : -689.0000, 2 -> 7
a : 419.0000, 3 -> 7
b : 843.0000, 4 -> 5
a : 537.0000, 5 -> 3
b : -694.0000, 6 -> 7
a : 242.0000, 7 -> 6
a : -664.0000, 2 -> 4
