a : -243.0000, 0 -> 5
b : 180.0000, 0 -> 4
a : 331.0000, 1 -> 6
b : 527.0000, 1 -> 2
a : -168.0000, 2 -> 5
b : -32.0000, 2 -> 6
a : -123.0000, 3 -> 0
b : 995.0000, 3 -> 5
a : -212.0000, 4 -> 4
b : 599.0000, 4 -> 3
a : -233.0000, 5 -> 6
b : 243.0000, 5 -> 3
a : -643.0000, 6 -> 5
b : -950.0000, 6 -> 4
a : 562.0000, 7 -> 5
b : 733.0000, 7 -> 1
b : -318.0000, 0 -> 7
a : -247.0000, 1 -> 7
b : 185.0000, 2 -> 3
a : -133.0000, 3 -> 3
a : -584.0000, 4 -> 3
b : -559.0000, 5 -> 5
a : 44.0000, 6 -> 6
b : 957.0000, 7 -> 2
