a : 29.0000, 0 -> 3
b : 584.0000, 0 -> 7
a : -179.0000, 1 -> 2
b : -850.0000, 1 -> 3
a : -372.0000, 2 -> 4
b : -759.0000, 2 -> 1
a : -62.0000, 3 -> 2
b : 708.0000, 3 -> 7
a : -726.0000, 4 -> 3
b : 760.0000, 4 -> 2
a : -84.0000, 5 -> 3
b : -694.0000, 5 -> 7
a : 881.0000, 6 -> 5
b : -438.0000, 6 -> 3
a : 775.0000, 7 -> 4
b : 654.0000, 7 -> 0
b : -710.0000, 0 -> 4
b : -515.0000, 1 -> 6
b : -66.0000, 2 -> 3
b : -688.0000, 3 -> 6
b : -462.0000, 4 -> 5
a : 670.0000, 5 -> 6
b : -190.0000, 6 -> 2
b : 672.0000, 7 -> 3
