a : -239.0000, 0 -> 1
b : -899.0000, 0 -> 3
c : 588.0000, 0 -> 2
d : -22.0000, 0 -> 6
a : -188.0000, 1 -> 4
b : -51.0000, 1 -> 6
c : 934.0000, 1 -> 3
d : -975.0000, 1 -> 3
a : -312.0000, 2 -> 6
b : 612.0000, 2 -> 4
c : 582.0000, 2 -> 1
d : -183.0000, 2 -> 5
a : -276.0000, 3 -> 4
b : 960.0000, 3 -> 5
c : -449.0000, 3 -> 7
d : 710.0000, 3 -> 2
a : -295.0000, 4 -> 6
b : -3.0000, 4 -> 2
c : 169.0000, 4 -> 4
d : -293.0000, 4 -> 5
a : 500.0000, 5 -> 6
b : -663.0000, 5 -> 5
c : 207.0000, 5 -> 2
d : -508.0000, 5 -> 3
a : -810.0000, 6 -> 7
b : 308.0000, 6 -> 1
c : 209.0000, 6 -> 7
d : -293.0000, 6 -> 4
a : -176.0000, 7 -> 6
b : -833.0000, 7 -> 1
c : -973.0000, 7 -> 3
d : 933.0000, 7 -> 1
a : -500.0000, 0 -> 6
a : 484.0000, 0 -> 3
d : -525.0000, 1 -> 7
b : -327.0000, 1 -> 1
d : -603.0000, 2 -> 2
b : -180.0000, 2 -> 2
c : -205.0000, 3 -> 4
d : 26.0000, 3 -> 1
c : 762.0000, 4 -> 3
b : 640.0000, 4 -> 1
b : 737.0000, 5 -> 4
b : 432.0000, 5 -> 3
c : -502.0000, 6 -> 6
d : -461.0000, 6 -> 5
c : -654.0000, 7 -> 0
a : -395.0000, 7 -> 0
