a : -505.0000, 0 -> 1
b : 408.0000, 0 -> 3
c : 429.0000, 0 -> 2
d : 946.0000, 0 -> 2
a : 931.0000, 1 -> 2
b : 218.0000, 1 -> 2
c : -792.0000, 1 -> 0
d : -661.0000, 1 -> 2
a : 257.0000, 2 -> 1
b : -587.0000, 2 -> 3
c : 42.0000, 2 -> 2
d : 58.0000, 2 -> 1
a : 416.0000, 3 -> 3
b : 466.0000, 3 -> 2
c : 399.0000, 3 -> 0
d : 330.0000, 3 -> 3
b : 592.0000, 0 -> 2
b : -838.0000, 0 -> 0
d : 154.0000, 1 -> 3
d : 277.0000, 1 -> 0
d : 236.0000, 2 -> 3
b : -23.0000, 2 -> 1
c : 304.0000, 3 -> 3
c : 73.0000, 3 -> 1
