a : -749.0000, 0 -> 6
b : -514.0000, 0 -> 2
c : -610.0000, 0 -> 7
d : 359.0000, 0 -> 6
a : -199.0000, 1 -> 7
b : -681.0000, 1 -> 4
c : 436.0000, 1 -> 6
d : -851.0000, 1 -> 4
a : 162.0000, 2 -> 3
b : 925.0000, 2 -> 2
c : -891.0000, 2 -> 1
d : -256.0000, 2 -> 5
a : -6.0000, 3 -> 2
b : -961.0000, 3 -> 3
c : -248.0000, 3 -> 2
d : 833.0000, 3 -> 1
a : -568.0000, 4 -> 1
b : 586.0000, 4 -> 4
c : -21.0000, 4 -> 0
d : -308.0000, 4 -> 4
a : -335.0000, 5 -> 0
b : -959.0000, 5 -> 3
c : 145.0000, 5 -> 0
d : 485.0000, 5 -> 7
a : -779.0000, 6 -> 1
b : 476.0000, 6 -> 2
c : -484.0000, 6 -> 1
d : 951.0000, 6 -> 7
a : -323.0000, 7 -> 4
b : -994.0000, 7 -> 0
c : 897.0000, 7 -> 0
d : -795.0000, 7 -> 7
a : -435.0000, 0 -> 1
c : 9.0000, 0 -> 3
d : 357.0000, 1 -> 2
d : 934.0000, 1 -> 3
d : -974.0000, 2 -> 7
a : -858.0000, 2 -> 7
c : -349.0000, 3 -> 6
b : -520.0000, 3 -> 6
a : 730.0000, 4 -> 2
b : -616.0000, 4 -> 0
b : -656.0000, 5 -> 4
c : -306.0000, 5 -> 4
c : -293.0000, 6 -> 4
b : 872.0000, 6 -> 5
b : -323.0000, 7 -> 2
d : -454.0000, 7 -> 4
