a : 174.0000, 0 -> 6
b : 287.0000, 0 -> 7
a : -753.0000, 1 -> 4
b : -396.0000, 1 -> 3
a : 168.0000, 2 -> 5
b : -70.0000, 2 -> 6
a : 196.0000, 3 -> 4
b : -572.0000, 3 -> 6
a : 54.0000, 4 -> 2
b : -512.0000, 4 -> 1
a : -767.0000, 5 -> 0
b : 873.0000, 5 -> 5
a : 1.0000, 6 -> 6
b : -302.0000, 6 -> 5
a : -35.0000, 7 -> 4
b : -366.0000, 7 -> 3
a : -144.0000, 0 -> 7
b : -175.0000, 1 -> 7
b : 482.0000, 2 -> 1
a : 878.0000, 3 -> 0
b : -412.0000, 4 -> 6
a : -739.0000, 5 -> 7
b : -770.0000, 6 -> 0
a : 231.0000, 7 -> 5
