a : -409.0000, 0 -> 3
b : -577.0000, 0 -> 7
c : -795.0000, 0 -> 3
d : -104.0000, 0 -> 6
a : 357.0000, 1 -> 6
b : 120.0000, 1 -> 2
c : -194.0000, 1 -> 7
d : 998.0000, 1 -> 1
a : -646.0000, 2 -> 0
b : -615.0000, 2 -> 6
c : 156.0000, 2 -> 1
d : 644.0000, 2 -> 2
a : 671.0000, 3 -> 2
b : -327.0000, 3 -> 7
c : 763.0000, 3 -> 2
d : -453.0000, 3 -> 0
a : -492.0000, 4 -> 3
b : -879.0000, 4 -> 6
c : 717.0000, 4 -> 2
d : -596.0000, 4 -> 0
a : -608.0000, 5 -> 2
b : 171.0000, 5 -> 6
c : -111.0000, 5 -> 5
d : 617.0000, 5 -> 7
a : 46.0000, 6 -> 6
b : 30.0000, 6 -> 5
c : -618.0000, 6 -> 3
d : -887.0000, 6 -> 0
a : 178.0000, 7 -> 0
b : 963.0000, 7 -> 6
c : 3.0000, 7 -> 2
d : 196.0000, 7 -> 6
d : 856.0000, 0 -> 5
b : 581.0000, 0 -> 0
c : 891.0000, 1 -> 5
a : 759.0000, 1 -> 2
c : -934.0000, 2 -> 0
a : -286.0000, 2 -> 5
b : 744.0000, 3 -> 2
d : -588.0000, 3 -> 2
b : -673.0000, 4 -> 0
c : -128.0000, 4 -> 7
d : -729.0000, 5 -> 2
d : -468.0000, 5 -> 0
b : -103.0000, 6 -> 1
b : 69.0000, 6 -> 7
a : -41.0000, 7 -> 7
c : 452.0000, 7 -> 6
c : 328.0000, 2 -> 4
