a : 528.0000, 0 -> 7
b : -57.0000, 0 -> 0
a : -219.0000, 1 -> 4
b : 332.0000, 1 -> 0
a : 339.0000, 2 -> 3
b : 154.0000, 2 -> 3
a : -604.0000, 3 -> 3
b : -8.0000, 3 -> 7
a : -275.0000, 4 -> 7
b : -575.0000, 4 -> 7
a : 170.0000, 5 -> 6
b : 791.0000, 5 -> 2
a : 40.0000, 6 -> 6
b : -385.0000, 6 -> 3
a : 46.0000, 7 -> 5
b : -370.0000, 7 -> 5
b : -346.0000, 0 -> 1
a : -994.0000, 1 -> 1
b : 115.0000, 2 -> 0
a : -589.0000, 3 -> 0
a : 525.0000, 4 -> 5
b : 258.0000, 5 -> 1
b : 641.0000, 6 -> 4
b : -223.0000, 7 -> 2
