a : 671.0000, 0 -> 4
b : 792.0000, 0 -> 0
a : -974.0000, 1 -> 5
b : -887.0000, 1 -> 3
a : -278.0000, 2 -> 7
b : -408.0000, 2 -> 2
a : -949.0000, 3 -> 3
b : -859.0000, 3 -> 1
a : -506.0000, 4 -> 6
b : 19.0000, 4 -> 4
a : 96.0000, 5 -> 0
b : -833.0000, 5 -> 6
a : 945.0000, 6 -> 5
b : 364.0000, 6 -> 6
a : -271.0000, 7 -> 2
b : 14.0000, 7 -> 7
b : -167.0000, 0 -> 7
b : -909.0000, 1 -> 7
b : -608.0000, 2 -> 7
b : 281.0000, 3 -> 3
a : -876.0000, 4 -> 2
a : -551.0000, 5 -> 2
a : 42.0000, 6 -> 7
a : -761.0000, 7 -> 3
