a : 33.0000, 0 -> 0
b : -96.0000, 0 -> 1
a : -406.0000, 1 -> 5
b : 6.0000, 1 -> 0
a : -820.0000, 2 -> 4
b : -360.0000, 2 -> 3
a : -761.0000, 3 -> 4
b : -874.0000, 3 -> 1
a : 419.0000, 4 -> 5
b : 552.0000, 4 -> 3
a : -71.0000, 5 -> 4
b : 424.0000, 5 -> 7
a : -110.0000, 6 -> 7
b : -60.0000, 6 -> 2
a : -187.0000, 7 -> 2
b : -255.0000, 7 -> 6
b : -119.0000, 0 -> 5
a : -834.0000, 1 -> 6
a : -9.0000, 2 -> 2
b : -671.0000, 3 -> 2
b : 141.0000, 4 -> 7
b : -695.0000, 5 -> 5
a : 565.0000, 6 -> 4
b : 786.0000, 7 -> 1
