a : 134.0000, 0 -> 1
b : 15.0000, 0 -> 3
c : -829.0000, 0 -> 2
d : -712.0000, 0 -> 1
a : -795.0000, 1 -> 1
b : 798.0000, 1 -> 2
c : 46.0000, 1 -> 1
d : -394.0000, 1 -> 2
a : -84.0000, 2 -> 1
b : -943.0000, 2 -> 1
c : 791.0000, 2 -> 3
d : 927.0000, 2 -> 0
a : -742.0000, 3 -> 3
b : -2.0000, 3 -> 1
c : 580.0000, 3 -> 2
d : 451.0000, 3 -> 2
b : -966.0000, 0 -> 0
b : -638.0000, 0 -> 2
b : -416.0000, 1 -> 3
d : -202.0000, 1 -> 0
b : 708.0000, 2 -> 2
c : 103.0000, 2 -> 0
d : 7.0000, 3 -> 3
b : 848.0000, 3 -> 3
