a : 865.0000, 0 -> 3
b : 294.0000, 0 -> 1
c : 570.0000, 0 -> 2
d : 131.0000, 0 -> 0
a : 155.0000, 1 -> 0
b : 168.0000, 1 -> 3
c : -942.0000, 1 -> 3
d : -811.0000, 1 -> 2
a : 340.0000, 2 -> 1
b : -526.0000, 2 -> 3
c : 940.0000, 2 -> 3
d : 441.0000, 2 -> 0
a : -601.0000, 3 -> 3
b : -144.0000, 3 -> 1
c : -623.0000, 3 -> 1
d : 755.0000, 3 -> 1
b : -294.0000, 0 -> 0
d : -752.0000, 0 -> 2
c : -763.0000, 1 -> 1
c : -167.0000, 1 -> 2
a : 878.0000, 2 -> 3
d : 395.0000, 2 -> 2
b : 420.0000, 3 -> 0
a : -157.0000, 3 -> 2
