a : -13.0000, 0 -> 3
b : -282.0000, 0 -> 4
c : -362.0000, 0 -> 2
d : -467.0000, 0 -> 0
a : 804.0000, 1 -> 5
b : -63.0000, 1 -> 7
c : 738.0000, 1 -> 7
d : -3.0000, 1 -> 0
a : 775.0000, 2 -> 4
b : -899.0000, 2 -> 4
c : 931.0000, 2 -> 5
d : -724.0000, 2 -> 1
a : -417.0000, 3 -> 0
b : -469.0000, 3 -> 0
c : -528.0000, 3 -> 5
d : 465.0000, 3 -> 6
a : -565.0000, 4 -> 6
b : 221.0000, 4 -> 3
c : 212.0000, 4 -> 2
d : -610.0000, 4 -> 6
a : -436.0000, 5 -> 5
b : 646.0000, 5 -> 7
c : -649.0000, 5 -> 1
d : -996.0000, 5 -> 0
a : -949.0000, 6 -> 2
b : 395.0000, 6 -> 6
c : 786.0000, 6 -> 3
d : -438.0000, 6 -> 7
a : -208.0000, 7 -> 1
b : -289.0000, 7 -> 2
c : -805.0000, 7 -> 3
d : 908.0000, 7 -> 4
c : 977.0000, 0 -> 1
a : -243.0000, 0 -> 7
b : -89.0000, 1 -> 3
b : 962.0000, 1 -> 5
a : -877.0000, 2 -> 1
c : -436.0000, 2 -> 6
c : 446.0000, 3 -> 6
b : 298.0000, 3 -> 3
c : -61.0000, 4 -> 1
c : -166.0000, 4 -> 5
b : -49.0000, 5 -> 4
c : -85.0000, 5 -> 3
d : 636.0000, 6 -> 6
b : 817.0000, 6 -> 3
a : 734.0000, 7 -> 3
a : -775.0000, 7 -> 7
