a : -145.0000, 0 -> 6
b : -322.0000, 0 -> 2
c : -159.0000, 0 -> 3
d : -333.0000, 0 -> 5
a : 744.0000, 1 -> 2
b : 854.0000, 1 -> 0
c : -674.0000, 1 -> 5
d : -997.0000, 1 -> 1
a : 852.0000, 2 -> 2
b : -251.0000, 2 -> 6
c : 342.0000, 2 -> 3
d : -28.0000, 2 -> 0
a : 625.0000, 3 -> 1
b : 797.0000, 3 -> 0
c : -738.0000, 3 -> 5
d : 267.0000, 3 -> 0
a : 792.0000, 4 -> 5
b : -336.0000, 4 -> 0
c : -436.0000, 4 -> 4
d : -103.0000, 4 -> 2
a : -288.0000, 5 -> 0
b : 890.0000, 5 -> 5
c : 251.0000, 5 -> 0
d : 632.0000, 5 -> 0
a : -816.0000, 6 -> 7
b : 848.0000, 6 -> 7
c : 456.0000, 6 -> 7
d : -63.0000, 6 -> 1
a : -957.0000, 7 -> 7
b : -378.0000, 7 -> 0
c : -81.0000, 7 -> 6
d : -946.0000, 7 -> 2
c : 69.0000, 0 -> 5
b : -514.0000, 0 -> 5
b : 420.0000, 1 -> 4
d : -698.0000, 1 -> 4
d : -436.0000, 2 -> 1
b : -638.0000, 2 -> 1
d : -285.0000, 3 -> 3
a : -238.0000, 3 -> 7
c : 118.0000, 4 -> 7
c : 478.0000, 4 -> 1
c : -411.0000, 5 -> 6
c : -49.0000, 5 -> 2
a : 291.0000, 6 -> 5
c : -474.0000, 6 -> 6
a : -854.0000, 7 -> 4
c : -817.0000, 7 -> 7
