a : -445.0000, 0 -> 0
b : 707.0000, 0 -> 0
c : -101.0000, 0 -> 1
d : 882.0000, 0 -> 1
a : -864.0000, 1 -> 3
b : 784.0000, 1 -> 3
c : -390.0000, 1 -> 2
d : -789.0000, 1 -> 2
a : -893.0000, 2 -> 1
b : 704.0000, 2 -> 1
c : 640.0000, 2 -> 3
d : 409.0000, 2 -> 1
a : -621.0000, 3 -> 0
b : -640.0000, 3 -> 3
c : -338.0000, 3 -> 2
d : -727.0000, 3 -> 1
c : -203.0000, 0 -> 0
c : 587.0000, 0 -> 3
d : -717.0000, 1 -> 3
c : 294.0000, 1 -> 3
d : 608.0000, 2 -> 2
c : 609.0000, 2 -> 0
d : -852.0000, 3 -> 2
a : 496.0000, 3 -> 2
