a : 7.0000, 0 -> 5
b : -965.0000, 0 -> 3
c : -697.0000, 0 -> 5
d : -858.0000, 0 -> 5
a : 331.0000, 1 -> 4
b : -55.0000, 1 -> 7
c : 168.0000, 1 -> 3
d : -30.0000, 1 -> 3
a : 734.0000, 2 -> 0
b : 456.0000, 2 -> 0
c : 406.0000, 2 -> 0
d : 138.0000, 2 -> 7
a : -482.0000, 3 -> 1
b : -345.0000, 3 -> 4
c : 409.0000, 3 -> 4
d : -129.0000, 3 -> 7
a : -887.0000, 4 -> 0
b : 89.0000, 4 -> 3
c : 225.0000, 4 -> 1
d : -837.0000, 4 -> 3
a : 66.0000, 5 -> 0
b : -199.0000, 5 -> 3
c : 992.0000, 5 -> 2
d : 607.0000, 5 -> 1
a : -532.0000, 6 -> 4
b : -372.0000, 6 -> 3
c : -15.0000, 6 -> 5
d : -27.0000, 6 -> 4
a : -785.0000, 7 -> 0
b : 973.0000, 7 -> 1
c : -921.0000, 7 -> 5
d : 555.0000, 7 -> 1
b : -634.0000, 0 -> 2
d : 965.0000, 0 -> 2
c : -227.0000, 1 -> 2
a : -636.0000, 1 -> 2
a : 867.0000, 2 -> 4
b : -949.0000, 2 -> 3
a : -29.0000, 3 -> 3
b : 10.0000, 3 -> 2
a : 874.0000, 4 -> 5
d : 488.0000, 4 -> 0
b : 810.0000, 5 -> 4
d : 59.0000, 5 -> 4
b : 479.0000, 6 -> 2
d : 441.0000, 6 -> 6
c : 356.0000, 7 -> 4
d : 242.0000, 7 -> 6
