a : 183.0000, 0 -> 1
b : 400.0000, 0 -> 6
c : -528.0000, 0 -> 7
d : -422.0000, 0 -> 2
a : 537.0000, 1 -> 7
b : -716.0000, 1 -> 1
c : -692.0000, 1 -> 6
d : 835.0000, 1 -> 3
a : -888.0000, 2 -> 0
b : 483.0000, 2 -> 2
c : -247.0000, 2 -> 4
d : 449.0000, 2 -> 0
a : -861.0000, 3 -> 7
b : 551.0000, 3 -> 3
c : 645.0000, 3 -> 2
d : 212.0000, 3 -> 4
a : -130.0000, 4 -> 4
b : -413.0000, 4 -> 3
c : 998.0000, 4 -> 1
d : -486.0000, 4 -> 4
a : 220.0000, 5 -> 0
b : 466.0000, 5 -> 6
c : 480.0000, 5 -> 7
d : -462.0000, 5 -> 1
a : 40.0000, 6 -> 5
b : -845.0000, 6 -> 5
c : -548.0000, 6 -> 2
d : 752.0000, 6 -> 1
a : 68.0000, 7 -> 4
b : 487.0000, 7 -> 7
c : -290.0000, 7 -> 4
d : 862.0000, 7 -> 7
a : -4.0000, 0 -> 2
c : -275.0000, 0 -> 2
b : -733.0000, 1 -> 7
d : 202.0000, 1 -> 7
b : 906.0000, 2 -> 5
d : 218.0000, 2 -> 2
b : 58.0000, 3 -> 1
d : -167.0000, 3 -> 5
b : -954.0000, 4 -> 4
b : -513.0000, 4 -> 0
b : 429.0000, 5 -> 5
c : 861.0000, 5 -> 4
b : -729.0000, 6 -> 0
b : 576.0000, 6 -> 1
d : -88.0000, 7 -> 6
b : -282.0000, 7 -> 3
