a : -512.0000, 0 -> 7
b : -516.0000, 0 -> 0
a : -431.0000, 1 -> 4
b : 640.0000, 1 -> 6
a : -918.0000, 2 -> 3
b : -925.0000, 2 -> 3
a : 604.0000, 3 -> 1
b : -401.0000, 3 -> 0
a : -335.0000, 4 -> 7
b : 295.0000, 4 -> 5
a : -985.0000, 5 -> 5
b : 143.0000, 5 -> 3
a : 965.0000, 6 -> 6
b : -438.0000, 6 -> 7
a : 742.0000, 7 -> 0
b : 602.0000, 7 -> 3
a : -268.0000, 0 -> 2
b : 946.0000, 1 -> 5
b : 402.0000, 2 -> 1
a : 712.0000, 3 -> 3
a : -814.0000, 4 -> 4
b : -973.0000, 5 -> 2
b : 39.0000, 6 -> 5
b : -368.0000, 7 -> 4
