a : -77.0000, 0 -> 6
b : -52.0000, 0 -> 6
a : -561.0000, 1 -> 5
b : 403.0000, 1 -> 0
a : 839.0000, 2 -> 2
b : 664.0000, 2 -> 2
a : 604.0000, 3 -> 4
b : 424.0000, 3 -> 2
a : 882.0000, 4 -> 5
b : 514.0000, 4 -> 4
a : -695.0000, 5 -> 7
b : 182.0000, 5 -> 2
a : 974.0000, 6 -> 4
b : 510.0000, 6 -> 7
a : -912.0000, 7 -> 1
b : 972.0000, 7 -> 1
b : -14.0000, 0 -> 1
b : -134.0000, 1 -> 3
b : 199.0000, 2 -> 5
a : -826.0000, 3 -> 0
a : -885.0000, 4 -> 4
a : -998.0000, 5 -> 3
a : -360.0000, 6 -> 2
a : -939.0000, 7 -> 6
