a : -894.0000, 0 -> 1
b : 13.0000, 0 -> 5
c : -745.0000, 0 -> 7
d : 124.0000, 0 -> 7
a : 473.0000, 1 -> 3
b : -21.0000, 1 -> 1
c : 660.0000, 1 -> 4
d : 157.0000, 1 -> 5
a : -501.0000, 2 -> 2
b : -376.0000, 2 -> 4
c : 245.0000, 2 -> 4
d : 813.0000, 2 -> 1
a : -196.0000, 3 -> 0
b : -434.0000, 3 -> 1
c : 374.0000, 3 -> 7
d : -434.0000, 3 -> 0
a : -189.0000, 4 -> 0
b : -999.0000, 4 -> 7
c : 795.0000, 4 -> 2
d : 43.0000, 4 -> 4
a : -257.0000, 5 -> 2
b : 583.0000, 5 -> 0
c : -79.0000, 5 -> 7
d : 808.0000, 5 -> 7
a : 581.0000, 6 -> 7
b : 391.0000, 6 -> 0
c : -71.0000, 6 -> 5
d : -161.0000, 6 -> 3
a : 249.0000, 7 -> 6
b : 347.0000, 7 -> 2
c : -19.0000, 7 -> 5
d : -38.0000, 7 -> 1
a : -156.0000, 0 -> 6
b : -900.0000, 0 -> 1
a : 233.0000, 1 -> 1
a : 233.0000, 1 -> 0
a : 652.0000, 2 -> 0
c : -509.0000, 2 -> 6
a : -114.0000, 3 -> 1
d : -612.0000, 3 -> 3
a : -327.0000, 4 -> 2
a : -197.0000, 4 -> 3
d : -298.0000, 5 -> 3
d : 151.0000, 5 -> 5
c : -624.0000, 6 -> 6
d : -914.0000, 6 -> 7
b : -169.0000, 7 -> 6
d : 891.0000, 7 -> 3
