a : -640.0000, 0 -> 0
b : 37.0000, 0 -> 0
c : 575.0000, 0 -> 6
d : 463.0000, 0 -> 0
a : 753.0000, 1 -> 7
b : -344.0000, 1 -> 6
c : 336.0000, 1 -> 1
d : 161.0000, 1 -> 0
a : 287.0000, 2 -> 1
b : -475.0000, 2 -> 0
c : 906.0000, 2 -> 7
d : -651.0000, 2 -> 5
a : 413.0000, 3 -> 3
b : -808.0000, 3 -> 5
c : -722.0000, 3 -> 6
d : 796.0000, 3 -> 6
a : -658.0000, 4 -> 7
b : -170.0000, 4 -> 0
c : -116.0000, 4 -> 4
d : 20.0000, 4 -> 6
a : -980.0000, 5 -> 1
b : -266.0000, 5 -> 2
c : 899.0000, 5 -> 5
d : -961.0000, 5 -> 3
a : 220.0000, 6 -> 3
b : 444.0000, 6 -> 7
c : 911.0000, 6 -> 6
d : 509.0000, 6 -> 4
a : -753.0000, 7 -> 5
b : 117.0000, 7 -> 3
c : 454.0000, 7 -> 2
d : -692.0000, 7 -> 6
b : 634.0000, 0 -> 2
a : 962.0000, 0 -> 1
d : -493.0000, 1 -> 1
b : 524.0000, 1 -> 3
b : 650.0000, 2 -> 1
c : -702.0000, 2 -> 4
d : 204.0000, 3 -> 1
a : 106.0000, 3 -> 0
d : 9.0000, 4 -> 1
a : 878.0000, 4 -> 1
a : 860.0000, 5 -> 3
a : -904.0000, 5 -> 6
c : 198.0000, 6 -> 0
d : 560.0000, 6 -> 3
d : 13.0000, 7 -> 1
a : 686.0000, 7 -> 2
