a : 906.0000, 0 -> 2
b : -896.0000, 0 -> 1
c : 738.0000, 0 -> 2
d : 147.0000, 0 -> 0
a : -244.0000, 1 -> 3
b : -325.0000, 1 -> 0
c : -682.0000, 1 -> 3
d : -109.0000, 1 -> 3
a : -375.0000, 2 -> 1
b : -768.0000, 2 -> 1
c : 28.0000, 2 -> 1
d : 553.0000, 2 -> 2
a : -629.0000, 3 -> 3
b : -296.0000, 3 -> 2
c : 108.0000, 3 -> 2
d : 470.0000, 3 -> 2
b : 534.0000, 0 -> 3
b : -944.0000, 0 -> 2
a : 296.0000, 1 -> 1
b : -106.0000, 1 -> 3
c : -86.0000, 2 -> 2
a : -285.0000, 2 -> 3
b : 753.0000, 3 -> 0
a : -710.0000, 3 -> 2
