a : -19.0000, 0 -> 4
b : 448.0000, 0 -> 1
c : -159.0000, 0 -> 4
d : -597.0000, 0 -> 6
a : -158.0000, 1 -> 1
b : -132.0000, 1 -> 5
c : -810.0000, 1 -> 2
d : -889.0000, 1 -> 0
a : 331.0000, 2 -> 2
b : -951.0000, 2 -> 0
c : 753.0000, 2 -> 1
d : -184.0000, 2 -> 5
a : 918.0000, 3 -> 2
b : -590.0000, 3 -> 3
c : -237.0000, 3 -> 6
d : 923.0000, 3 -> 0
a : -837.0000, 4 -> 5
b : 191.0000, 4 -> 2
c : -631.0000, 4 -> 3
d : 378.0000, 4 -> 5
a : -724.0000, 5 -> 2
b : 415.0000, 5 -> 7
c : -487.0000, 5 -> 4
d : 77.0000, 5 -> 7
a : 456.0000, 6 -> 2
b : 191.0000, 6 -> 3
c : 657.0000, 6 -> 5
d : -692.0000, 6 -> 4
a : 344.0000, 7 -> 2
b : 212.0000, 7 -> 5
c : -878.0000, 7 -> 5
d : -672.0000, 7 -> 6
b : -155.0000, 0 -> 3
a : -952.0000, 0 -> 7
c : 408.0000, 1 -> 3
a : 260.0000, 1 -> 2
c : -279.0000, 2 -> 3
c : 249.0000, 2 -> 2
c : 276.0000, 3 -> 7
b : 533.0000, 3 -> 1
c : -858.0000, 4 -> 7
a : 154.0000, 4 -> 7
b : 965.0000, 5 -> 0
a : 346.0000, 5 -> 6
c : 430.0000, 6 -> 4
d : -87.0000, 6 -> 2
b : 943.0000, 7 -> 4
c : 246.0000, 7 -> 7
