a : 993.0000, 0 -> 7
b : 687.0000, 0 -> 5
c : -559.0000, 0 -> 5
d : -969.0000, 0 -> 0
a : 560.0000, 1 -> 3
b : -326.0000, 1 -> 5
c : -540.0000, 1 -> 5
d : 382.0000, 1 -> 3
a : -953.0000, 2 -> 5
b : -960.0000, 2 -> 1
c : 824.0000, 2 -> 0
d : -313.0000, 2 -> 1
a : 466.0000, 3 -> 7
b : 700.0000, 3 -> 3
c : 587.0000, 3 -> 6
d : -945.0000, 3 -> 3
a : -456.0000, 4 -> 7
b : 317.0000, 4 -> 0
c : -527.0000, 4 -> 2
d : 836.0000, 4 -> 4
a : 885.0000, 5 -> 0
b : -700.0000, 5 -> 1
c : 272.0000, 5 -> 3
d : 243.0000, 5 -> 5
a : 62.0000, 6 -> 2
b : 115.0000, 6 -> 1
c : 156.0000, 6 -> 6
d : 105.0000, 6 -> 7
a : -905.0000, 7 -> 4
b : 298.0000, 7 -> 0
c : -581.0000, 7 -> 4
d : 186.0000, 7 -> 3
a : 373.0000, 0 -> 5
d : 363.0000, 0 -> 5
a : 408.0000, 1 -> 0
c : -835.0000, 1 -> 2
c : 872.0000, 2 -> 1
a : -488.0000, 2 -> 3
d : 982.0000, 3 -> 1
a : 790.0000, 3 -> 3
d : 956.0000, 4 -> 5
a : -356.0000, 4 -> 6
d : 365.0000, 5 -> 2
b : 810.0000, 5 -> 2
c : 960.0000, 6 -> 5
d : -571.0000, 6 -> 5
a : 372.0000, 7 -> 0
d : -668.0000, 7 -> 6
