a : 270.0000, 0 -> 6
b : -900.0000, 0 -> 5
a : 615.0000, 1 -> 2
b : -65.0000, 1 -> 6
a : 345.0000, 2 -> 2
b : 545.0000, 2 -> 2
a : 79.0000, 3 -> 7
b : 922.0000, 3 -> 5
a : -987.0000, 4 -> 5
b : -363.0000, 4 -> 6
a : 277.0000, 5 -> 1
b : 1.0000, 5 -> 0
a : -906.0000, 6 -> 0
b : 116.0000, 6 -> 4
a : -347.0000, 7 -> 3
b : 321.0000, 7 -> 5
a : -863.0000, 0 -> 7
a : -334.0000, 1 -> 7
a : 637.0000, 2 -> 4
b : -918.0000, 3 -> 2
b : -350.0000, 4 -> 1
a : 341.0000, 5 -> 3
b : -289.0000, 6 -> 7
b : 553.0000, 7 -> 7
