a : 625.0000, 0 -> 1
b : -146.0000, 0 -> 2
c : 587.0000, 0 -> 2
d : 213.0000, 0 -> 0
a : 98.0000, 1 -> 3
b : 129.0000, 1 -> 0
c : 508.0000, 1 -> 1
d : -632.0000, 1 -> 1
a : -71.0000, 2 -> 0
b : 283.0000, 2 -> 2
c : -663.0000, 2 -> 0
d : 68.0000, 2 -> 1
a : 267.0000, 3 -> 0
b : 877.0000, 3 -> 1
c : -281.0000, 3 -> 2
d : -319.0000, 3 -> 2
c : 324.0000, 0 -> 0
b : 719.0000, 0 -> 1
a : 856.0000, 1 -> 1
c : -567.0000, 1 -> 0
d : 637.0000, 2 -> 2
b : -826.0000, 2 -> 3
a : 579.0000, 3 -> 2
d : 481.0000, 3 -> 1
