a : -493.0000, 0 -> 2
b : -663.0000, 0 -> 0
c : 212.0000, 0 -> 2
d : -9.0000, 0 -> 2
a : -204.0000, 1 -> 2
b : -153.0000, 1 -> 1
c : -896.0000, 1 -> 2
d : 155.0000, 1 -> 3
a : 901.0000, 2 -> 3
b : -927.0000, 2 -> 3
c : 201.0000, 2 -> 2
d : 947.0000, 2 -> 3
a : 256.0000, 3 -> 1
b : -842.0000, 3 -> 1
c : -612.0000, 3 -> 2
d : -679.0000, 3 -> 2
c : -647.0000, 0 -> 3
b : -15.0000, 0 -> 3
b : 953.0000, 1 -> 0
c : 581.0000, 1 -> 3
c : 883.0000, 2 -> 1
c : 44.0000, 2 -> 3
d : 717.0000, 3 -> 3
a : -860.0000, 3 -> 0
