a : -124.0000, 0 -> 2
b : 253.0000, 0 -> 3
c : 73.0000, 0 -> 2
d : -886.0000, 0 -> 3
a : 658.0000, 1 -> 1
b : 207.0000, 1 -> 0
c : 567.0000, 1 -> 0
d : 812.0000, 1 -> 2
a : -389.0000, 2 -> 1
b : -273.0000, 2 -> 2
c : -692.0000, 2 -> 0
d : -965.0000, 2 -> 2
a : 337.0000, 3 -> 0
b : -161.0000, 3 -> 3
c : -360.0000, 3 -> 2
d : -620.0000, 3 -> 0
a : -603.0000, 0 -> 3
a : 334.0000, 0 -> 1
c : -928.0000, 1 -> 2
b : -898.0000, 1 -> 3
d : 349.0000, 2 -> 1
b : 611.0000, 2 -> 1
d : -849.0000, 3 -> 2
a : -360.0000, 3 -> 2
