a : -294.0000, 0 -> 7
b : -891.0000, 0 -> 0
a : 144.0000, 1 -> 3
b : -972.0000, 1 -> 7
a : 745.0000, 2 -> 7
b : 980.0000, 2 -> 5
a : 449.0000, 3 -> 2
b : -3.0000, 3 -> 4
a : 509.0000, 4 -> 0
b : -695.0000, 4 -> 4
a : 187.0000, 5 -> 1
b : -796.0000, 5 -> 2
a : 731.0000, 6 -> 7
b : 509.0000, 6 -> 0
a : 11.0000, 7 -> 4
b : -493.0000, 7 -> 2
b : -569.0000, 0 -> 7
a : -496.0000, 1 -> 1
a : 104.0000, 2 -> 5
b : -787.0000, 3 -> 7
b : 79.0000, 4 -> 1
a : -29.0000, 5 -> 4
a : 485.0000, 6 -> 4
a : -258.0000, 7 -> 0
b : 699.0000, 4 -> 6
