a : -628.0000, 0 -> 6
b : -375.0000, 0 -> 7
c : -891.0000, 0 -> 4
d : 376.0000, 0 -> 0
a : -885.0000, 1 -> 3
b : 854.0000, 1 -> 3
c : 350.0000, 1 -> 6
d : 326.0000, 1 -> 6
a : -713.0000, 2 -> 5
b : -631.0000, 2 -> 2
c : -672.0000, 2 -> 3
d : 907.0000, 2 -> 6
a : -320.0000, 3 -> 1
b : 466.0000, 3 -> 7
c : 97.0000, 3 -> 0
d : 487.0000, 3 -> 3
a : -788.0000, 4 -> 3
b : -784.0000, 4 -> 3
c : 932.0000, 4 -> 1
d : -988.0000, 4 -> 5
a : 781.0000, 5 -> 5
b : -177.0000, 5 -> 7
c : 210.0000, 5 -> 7
d : -647.0000, 5 -> 5
a : -554.0000, 6 -> 6
b : 115.0000, 6 -> 5
c : 897.0000, 6 -> 6
d : 579.0000, 6 -> 3
a : -874.0000, 7 -> 7
b : 697.0000, 7 -> 4
c : -474.0000, 7 -> 6
d : -737.0000, 7 -> 3
a : -643.0000, 0 -> 3
a : 194.0000, 0 -> 7
c : 627.0000, 1 -> 5
a : -645.0000, 1 -> 0
d : -496.0000, 2 -> 4
a : 616.0000, 2 -> 3
c : 153.0000, 3 -> 2
c : 555.0000, 3 -> 4
d : 918.0000, 4 -> 7
a : -909.0000, 4 -> 6
c : -91.0000, 5 -> 3
c : 309.0000, 5 -> 5
b : -175.0000, 6 -> 1
b : 460.0000, 6 -> 4
c : -18.0000, 7 -> 4
b : 25.0000, 7 -> 3
