a : 752.0000, 0 -> 1
b : 517.0000, 0 -> 4
c : -678.0000, 0 -> 2
d : 344.0000, 0 -> 3
a : 883.0000, 1 -> 2
b : -181.0000, 1 -> 3
c : -753.0000, 1 -> 6
d : 789.0000, 1 -> 7
a : 90.0000, 2 -> 1
b : -58.0000, 2 -> 2
c : 523.0000, 2 -> 3
d : -831.0000, 2 -> 4
a : -954.0000, 3 -> 4
b : 674.0000, 3 -> 7
c : -732.0000, 3 -> 5
d : 354.0000, 3 -> 5
a : 16.0000, 4 -> 4
b : 853.0000, 4 -> 2
c : 913.0000, 4 -> 6
d : -171.0000, 4 -> 6
a : -920.0000, 5 -> 4
b : -595.0000, 5 -> 7
c : 308.0000, 5 -> 4
d : 98.0000, 5 -> 1
a : 793.0000, 6 -> 0
b : -632.0000, 6 -> 4
c : 969.0000, 6 -> 0
d : 563.0000, 6 -> 3
a : -746.0000, 7 -> 6
b : -117.0000, 7 -> 6
c : -257.0000, 7 -> 2
d : -694.0000, 7 -> 2
d : 502.0000, 0 -> 2
c : -685.0000, 0 -> 0
a : 110.0000, 1 -> 4
b : -50.0000, 1 -> 4
d : 785.0000, 2 -> 2
a : -494.0000, 2 -> 7
b : 520.0000, 3 -> 0
b : -598.0000, 3 -> 6
d : -786.0000, 4 -> 3
a : -475.0000, 4 -> 2
a : -599.0000, 5 -> 3
d : 77.0000, 5 -> 6
b : -536.0000, 6 -> 5
d : -197.0000, 6 -> 7
d : 962.0000, 7 -> 6
a : -417.0000, 7 -> 0
