a : 4.0756, 0 -> 6
b : -4.4929, 0 -> 3
c : -4.4932, 0 -> 1
d : 8.2004, 0 -> 4
a : -9.4771, 1 -> 7
b : -2.7615, 1 -> 1
c : -9.1060, 1 -> 2
d : -8.5312, 1 -> 6
a : 5.2862, 2 -> 7
b : 0.4181, 2 -> 7
c : -6.0446, 2 -> 7
d : 5.6678, 2 -> 4
a : 0.6424, 3 -> 6
b : 1.8032, 3 -> 5
c : 1.2384, 3 -> 1
d : -5.0777, 3 -> 1
a : -8.9214, 4 -> 3
b : 9.6188, 4 -> 4
c : -9.7156, 4 -> 3
d : 0.8194, 4 -> 7
a : 5.8758, 5 -> 1
b : -7.9905, 5 -> 0
c : 9.9615, 5 -> 0
d : 3.6331, 5 -> 2
a : -7.2839, 6 -> 6
b : -2.0421, 6 -> 3
c : -0.4627, 6 -> 1
d : -7.0839, 6 -> 7
a : -2.1650, 7 -> 7
b : -7.3043, 7 -> 6
c : -0.8571, 7 -> 5
d : -4.7118, 7 -> 7
b : 7.4127, 0 -> 5
a : -0.8562, 0 -> 4
b : -9.0392, 1 -> 0
c : -4.2734, 1 -> 3
d : 9.5683, 2 -> 1
b : -9.7925, 2 -> 7
b : 0.1430, 3 -> 1
b : 5.4991, 3 -> 0
a : -8.2105, 4 -> 4
a : 8.2720, 4 -> 5
d : -7.5935, 5 -> 1
a : -8.9261, 5 -> 5
d : -3.2948, 6 -> 6
c : -1.5548, 6 -> 6
c : -8.7892, 7 -> 6
b : 2.2108, 7 -> 3
