a : -1.3398, 0 -> 3
b : -6.7225, 0 -> 5
c : 6.3623, 0 -> 5
d : -4.4025, 0 -> 7
a : 6.8939, 1 -> 5
b : 7.2257, 1 -> 7
c : -4.9318, 1 -> 4
d : -6.7320, 1 -> 7
a : 0.3691, 2 -> 7
b : 8.5327, 2 -> 3
c : -1.8207, 2 -> 2
d : -9.1857, 2 -> 6
a : 5.1019, 3 -> 7
b : 3.5255, 3 -> 0
c : 1.8334, 3 -> 4
d : -1.6808, 3 -> 0
a : 9.8022, 4 -> 7
b : -0.5008, 4 -> 0
c : 6.2693, 4 -> 3
d : 9.1553, 4 -> 4
a : -7.6216, 5 -> 2
b : -8.0145, 5 -> 0
c : 9.2761, 5 -> 0
d : 8.8564, 5 -> 4
a : -3.9752, 6 -> 1
b : -7.0043, 6 -> 6
c : 4.6773, 6 -> 3
d : -1.8762, 6 -> 0
a : -7.7845, 7 -> 3
b : 4.3153, 7 -> 5
c : 3.7018, 7 -> 0
d : 7.1634, 7 -> 0
d : -2.8407, 0 -> 4
a : -5.6205, 0 -> 2
c : 6.0631, 1 -> 4
d : 6.2941, 1 -> 5
b : -0.2791, 2 -> 3
d : -0.6670, 2 -> 2
b : 7.7537, 3 -> 2
d : 4.9458, 3 -> 5
a : -4.1868, 4 -> 6
b : 5.8853, 4 -> 5
d : -3.8497, 5 -> 0
a : -1.6810, 5 -> 7
c : 2.3440, 6 -> 3
c : -9.3930, 6 -> 0
a : -2.5486, 7 -> 3
c : 5.3483, 7 -> 0
