a : -3.9728, 0 -> 7
b : 8.2140, 0 -> 6
c : -8.8909, 0 -> 6
d : 1.6235, 0 -> 4
a : 7.3998, 1 -> 0
b : -9.1124, 1 -> 5
c : -8.3930, 1 -> 0
d : 3.4089, 1 -> 4
a : -0.0579, 2 -> 4
b : -7.4720, 2 -> 5
c : 0.5620, 2 -> 2
d : -4.3317, 2 -> 7
a : 8.8313, 3 -> 4
b : -3.8458, 3 -> 7
c : -1.1442, 3 -> 5
d : -4.6670, 3 -> 5
a : -6.4737, 4 -> 2
b : -1.6584, 4 -> 3
c : -0.6316, 4 -> 7
d : 2.8728, 4 -> 3
a : 2.1187, 5 -> 3
b : 2.2150, 5 -> 3
c : 2.0301, 5 -> 1
d : 8.0932, 5 -> 0
a : 8.3117, 6 -> 6
b : -0.6054, 6 -> 1
c : -6.1460, 6 -> 0
d : 9.9428, 6 -> 7
a : -5.5197, 7 -> 1
b : 9.5541, 7 -> 4
c : -9.9834, 7 -> 7
d : 3.2935, 7 -> 0
a : -9.9108, 0 -> 2
d : -7.7441, 0 -> 4
a : 2.8768, 1 -> 7
b : 4.3237, 1 -> 2
c : -4.9515, 2 -> 1
c : 9.4733, 2 -> 6
b : -3.1381, 3 -> 1
c : 8.0063, 3 -> 1
c : 3.2187, 4 -> 2
b : -8.0032, 4 -> 3
b : 3.2059, 5 -> 1
b : -3.3942, 5 -> 1
b : 8.3699, 6 -> 2
c : -7.7824, 6 -> 4
a : 7.8480, 7 -> 2
a : -5.4363, 7 -> 3
