a : -0.7567, 0 -> 1
b : 5.7701, 0 -> 6
c : -4.9166, 0 -> 0
d : 3.3617, 0 -> 0
a : 5.5735, 1 -> 7
b : 0.2482, 1 -> 1
c : -7.3912, 1 -> 0
d : 3.9313, 1 -> 3
a : -9.1039, 2 -> 6
b : 3.5212, 2 -> 1
c : -6.2401, 2 -> 5
d : -4.2742, 2 -> 5
a : 7.5574, 3 -> 0
b : 5.8674, 3 -> 0
c : 5.9385, 3 -> 5
d : 7.9371, 3 -> 1
a : -8.1971, 4 -> 3
b : 5.4037, 4 -> 4
c : 1.8893, 4 -> 3
d : -5.8946, 4 -> 6
a : 8.1494, 5 -> 3
b : -0.6217, 5 -> 0
c : -4.6691, 5 -> 7
d : 6.2398, 5 -> 0
a : -3.8792, 6 -> 2
b : -3.9747, 6 -> 4
c : -4.4021, 6 -> 5
d : -9.7106, 6 -> 7
a : 8.6641, 7 -> 1
b : -3.0244, 7 -> 2
c : -5.6992, 7 -> 2
d : -4.2292, 7 -> 4
d : 2.1262, 0 -> 4
c : 6.8034, 0 -> 0
d : 9.5553, 1 -> 0
a : 1.5776, 1 -> 4
a : 8.7881, 2 -> 2
c : -3.0407, 2 -> 6
c : 5.3979, 3 -> 6
d : 6.8032, 3 -> 3
a : 6.4566, 4 -> 5
a : -4.1921, 4 -> 1
d : 8.6192, 5 -> 5
d : 0.0879, 5 -> 1
b : -3.2109, 6 -> 4
c : -8.1319, 6 -> 2
d : 7.9710, 7 -> 5
d : -8.1902, 7 -> 1
