a : -6.9555, 0 -> 7
b : 8.3876, 0 -> 5
c : -2.6831, 0 -> 6
d : -4.3529, 0 -> 2
a : -7.1278, 1 -> 5
b : 2.4677, 1 -> 3
c : 9.7524, 1 -> 6
d : -8.2287, 1 -> 0
a : 0.5899, 2 -> 4
b : -9.5502, 2 -> 7
c : 8.9114, 2 -> 0
d : 0.3273, 2 -> 0
a : 8.8791, 3 -> 4
b : -9.4787, 3 -> 1
c : 8.8985, 3 -> 2
d : -8.1613, 3 -> 2
a : 3.1211, 4 -> 4
b : 1.6593, 4 -> 1
c : 3.7839, 4 -> 5
d : -2.8345, 4 -> 5
a : 4.3293, 5 -> 6
b : -1.1919, 5 -> 0
c : -8.3653, 5 -> 6
d : 7.5066, 5 -> 3
a : 3.4083, 6 -> 0
b : -1.7675, 6 -> 3
c : -9.9586, 6 -> 2
d : 1.0745, 6 -> 4
a : -5.9139, 7 -> 5
b : 6.9992, 7 -> 4
c : 6.7765, 7 -> 5
d : 7.8630, 7 -> 6
c : -2.5449, 0 -> 7
d : -3.1415, 0 -> 5
b : -0.2283, 1 -> 4
b : 4.3523, 1 -> 5
b : 5.3632, 2 -> 1
d : 9.1629, 2 -> 2
d : -9.0008, 3 -> 6
c : 8.6336, 3 -> 7
b : -5.7193, 4 -> 7
b : -7.1692, 4 -> 3
d : -1.5996, 5 -> 2
b : -0.0975, 5 -> 6
b : -9.9260, 6 -> 5
a : 8.1753, 6 -> 5
d : -8.5917, 7 -> 2
d : 2.3841, 7 -> 7
