a : -5.8108, 0 -> 1
b : -1.0312, 0 -> 7
a : 1.1609, 1 -> 2
b : 5.8824, 1 -> 3
a : -3.0215, 2 -> 3
b : -2.6972, 2 -> 2
a : -5.4726, 3 -> 5
b : -4.2687, 3 -> 3
a : 6.1518, 4 -> 4
b : -4.4762, 4 -> 2
a : -4.9915, 5 -> 0
b : -3.1425, 5 -> 5
a : 8.7939, 6 -> 3
b : -4.0249, 6 -> 5
a : -0.0375, 7 -> 2
b : 8.0941, 7 -> 2
a : -7.3215, 0 -> 2
b : -1.9766, 1 -> 1
a : -0.3239, 2 -> 1
b : -8.4201, 3 -> 3
b : -9.4292, 4 -> 5
a : 1.7016, 5 -> 3
a : -1.1916, 6 -> 2
a : -3.8206, 7 -> 1
b : 5.8639, 5 -> 6
a : 4.4985, 7 -> 4
