a : -0.6714, 0 -> 2
b : -1.3358, 0 -> 5
c : -3.8241, 0 -> 3
d : -2.0183, 0 -> 7
a : 4.6736, 1 -> 7
b : -9.0013, 1 -> 2
c : 2.7818, 1 -> 2
d : -6.3453, 1 -> 3
a : 3.1519, 2 -> 6
b : 3.0913, 2 -> 6
c : 4.7557, 2 -> 1
d : -8.4324, 2 -> 3
a : 8.7679, 3 -> 5
b : -4.9945, 3 -> 5
c : -4.2826, 3 -> 4
d : -4.9332, 3 -> 6
a : 8.6086, 4 -> 6
b : 6.0700, 4 -> 0
c : -6.1954, 4 -> 0
d : -6.8393, 4 -> 1
a : 4.1979, 5 -> 3
b : -6.3550, 5 -> 0
c : -5.4077, 5 -> 2
d : -0.2202, 5 -> 1
a : -5.8125, 6 -> 2
b : -8.3100, 6 -> 3
c : 0.4244, 6 -> 7
d : 6.4712, 6 -> 6
a : -3.2675, 7 -> 4
b : -9.3782, 7 -> 2
c : -1.3327, 7 -> 4
d : -3.4989, 7 -> 7
a : -3.1279, 0 -> 5
b : 7.0909, 0 -> 0
c : -1.9816, 1 -> 4
d : 4.9641, 1 -> 4
c : -8.0201, 2 -> 0
c : 5.7592, 2 -> 6
d : 6.8933, 3 -> 6
c : -8.5346, 3 -> 1
c : 6.4114, 4 -> 1
b : 9.6755, 4 -> 1
a : -1.8868, 5 -> 2
b : -0.5207, 5 -> 0
b : -5.8698, 6 -> 7
c : 5.8881, 6 -> 3
a : -5.6066, 7 -> 6
d : -4.2217, 7 -> 0
