a : 4.3531, 0 -> 4
b : -0.2579, 0 -> 1
c : -2.4568, 0 -> 7
d : 7.3243, 0 -> 1
a : -7.3395, 1 -> 5
b : -5.7354, 1 -> 4
c : -2.7454, 1 -> 1
d : 5.3290, 1 -> 4
a : -8.4175, 2 -> 0
b : -2.1850, 2 -> 3
c : -8.9760, 2 -> 5
d : 9.2154, 2 -> 7
a : -1.6394, 3 -> 1
b : -0.9979, 3 -> 2
c : 4.6848, 3 -> 0
d : 8.7037, 3 -> 0
a : 4.6579, 4 -> 3
b : 6.4669, 4 -> 2
c : 6.4991, 4 -> 0
d : 1.5736, 4 -> 1
a : -4.9274, 5 -> 4
b : 3.3344, 5 -> 1
c : -0.6767, 5 -> 3
d : 3.6714, 5 -> 1
a : 6.8892, 6 -> 2
b : 7.8455, 6 -> 5
c : -1.0879, 6 -> 3
d : -1.0475, 6 -> 4
a : 7.6134, 7 -> 5
b : 2.1136, 7 -> 1
c : -0.6336, 7 -> 3
d : 0.9078, 7 -> 2
b : -1.1941, 0 -> 3
a : 7.5405, 0 -> 4
a : 2.6672, 1 -> 5
b : 9.8872, 1 -> 4
b : -4.5168, 2 -> 4
a : 3.5452, 2 -> 0
c : -9.6254, 3 -> 5
a : 0.7907, 3 -> 5
c : 1.4333, 4 -> 5
b : -8.6160, 4 -> 5
d : -9.7693, 5 -> 5
d : 9.6481, 5 -> 6
d : -7.3716, 6 -> 0
b : -3.7082, 6 -> 3
d : 9.9527, 7 -> 4
b : 3.4326, 7 -> 2
