a : 1.1176, 0 -> 4
b : -9.6032, 0 -> 0
c : 1.1713, 0 -> 5
d : 9.7559, 0 -> 0
a : 2.8969, 1 -> 1
b : 3.4848, 1 -> 5
c : -4.8512, 1 -> 7
d : -1.0080, 1 -> 4
a : 9.7130, 2 -> 6
b : -6.0445, 2 -> 6
c : 1.6124, 2 -> 0
d : -2.2147, 2 -> 7
a : -1.5436, 3 -> 7
b : 1.8065, 3 -> 7
c : 8.1225, 3 -> 6
d : -9.0955, 3 -> 7
a : -4.8050, 4 -> 1
b : -4.1246, 4 -> 6
c : 8.3572, 4 -> 1
d : -0.8674, 4 -> 1
a : -3.6684, 5 -> 3
b : 6.5801, 5 -> 3
c : -2.4576, 5 -> 1
d : 5.7421, 5 -> 5
a : 5.8700, 6 -> 5
b : -2.6897, 6 -> 6
c : 3.2483, 6 -> 1
d : -2.4053, 6 -> 7
a : -5.1587, 7 -> 5
b : 7.7444, 7 -> 4
c : -9.5075, 7 -> 6
d : 5.8195, 7 -> 7
c : 0.9450, 0 -> 2
a : 8.1669, 0 -> 5
d : -5.0542, 1 -> 4
b : 2.6212, 1 -> 1
b : 2.2900, 2 -> 7
c : 2.5972, 2 -> 0
d : 9.1015, 3 -> 4
d : -2.4854, 3 -> 7
b : -9.9667, 4 -> 4
c : -5.3040, 4 -> 5
c : 9.9797, 5 -> 2
c : -5.8608, 5 -> 2
b : -7.2303, 6 -> 4
c : 3.1266, 6 -> 1
b : 9.0702, 7 -> 6
d : 9.7416, 7 -> 1
