a : -4.3987, 0 -> 1
b : -3.0993, 0 -> 7
c : 5.1834, 0 -> 2
d : 0.1216, 0 -> 7
a : -5.0388, 1 -> 7
b : -8.3312, 1 -> 2
c : 9.8017, 1 -> 1
d : -2.7391, 1 -> 5
a : 6.9928, 2 -> 1
b : -0.7986, 2 -> 5
c : -4.5974, 2 -> 6
d : -8.8580, 2 -> 7
a : 9.3591, 3 -> 6
b : 9.6865, 3 -> 1
c : -7.3338, 3 -> 6
d : -2.6751, 3 -> 5
a : 9.8101, 4 -> 5
b : 2.3943, 4 -> 0
c : 8.2265, 4 -> 7
d : 4.8387, 4 -> 6
a : 4.6089, 5 -> 3
b : 1.6565, 5 -> 6
c : -2.0714, 5 -> 1
d : -8.7077, 5 -> 2
a : -3.9734, 6 -> 3
b : -5.7608, 6 -> 1
c : 0.3178, 6 -> 0
d : 9.4158, 6 -> 0
a : 5.0665, 7 -> 5
b : 2.3047, 7 -> 5
c : -8.8657, 7 -> 1
d : -4.8812, 7 -> 3
d : 4.6411, 0 -> 1
c : 4.9437, 0 -> 4
d : 4.9002, 1 -> 7
a : 8.5587, 1 -> 1
a : -3.5438, 2 -> 1
d : -5.6293, 2 -> 1
a : 5.1625, 3 -> 1
c : -3.8034, 3 -> 3
d : -1.5975, 4 -> 4
b : -4.3845, 4 -> 2
c : -7.2750, 5 -> 3
b : -1.5073, 5 -> 6
c : 6.4175, 6 -> 2
d : -5.1059, 6 -> 2
c : -1.2344, 7 -> 0
c : 2.3934, 7 -> 3
