a : 0.7226, 0 -> 0
b : 3.5440, 0 -> 5
c : 1.5801, 0 -> 4
d : -1.7608, 0 -> 4
a : -2.3529, 1 -> 2
b : 5.6128, 1 -> 5
c : 3.1368, 1 -> 6
d : 1.1436, 1 -> 6
a : 8.2171, 2 -> 5
b : -3.7283, 2 -> 4
c : 8.3655, 2 -> 4
d : -5.9255, 2 -> 5
a : -5.3691, 3 -> 1
b : 6.6070, 3 -> 4
c : 0.7712, 3 -> 4
d : 4.7056, 3 -> 4
a : 0.4388, 4 -> 4
b : 3.1367, 4 -> 1
c : 3.4833, 4 -> 1
d : -7.0781, 4 -> 6
a : -3.5458, 5 -> 5
b : -8.3745, 5 -> 0
c : -0.7197, 5 -> 2
d : 3.1673, 5 -> 6
a : 2.4177, 6 -> 2
b : -4.1272, 6 -> 0
c : -2.4357, 6 -> 3
d : 7.2785, 6 -> 0
a : -0.1294, 7 -> 7
b : -4.0145, 7 -> 1
c : -1.0020, 7 -> 7
d : 5.9019, 7 -> 2
d : -4.1483, 0 -> 3
c : 8.9897, 0 -> 1
d : -1.7264, 1 -> 6
c : -3.1084, 1 -> 5
c : 2.9116, 2 -> 2
b : -1.4693, 2 -> 7
c : 8.9254, 3 -> 2
a : 2.3665, 3 -> 0
d : -3.4651, 4 -> 4
b : -9.8427, 4 -> 0
c : 0.4982, 5 -> 0
a : 6.9130, 5 -> 2
c : -3.5935, 6 -> 1
c : -8.0725, 6 -> 7
d : -9.8387, 7 -> 6
d : -5.2872, 7 -> 1
