a : -0.3149, 0 -> 0
b : 7.2119, 0 -> 6
c : 9.4813, 0 -> 0
d : -6.8306, 0 -> 7
a : -7.3403, 1 -> 1
b : -6.2305, 1 -> 4
c : -8.9257, 1 -> 6
d : 6.0147, 1 -> 2
a : -3.7345, 2 -> 2
b : -1.2489, 2 -> 6
c : -4.0751, 2 -> 5
d : -8.7250, 2 -> 4
a : -9.1582, 3 -> 7
b : -1.2519, 3 -> 6
c : 0.3748, 3 -> 0
d : -3.6108, 3 -> 1
a : 3.6767, 4 -> 1
b : -2.1797, 4 -> 6
c : 5.5978, 4 -> 4
d : -2.4802, 4 -> 3
a : -5.5221, 5 -> 2
b : 9.9039, 5 -> 7
c : -4.4683, 5 -> 6
d : -5.4049, 5 -> 1
a : -9.3543, 6 -> 5
b : -4.5572, 6 -> 1
c : -9.8625, 6 -> 2
d : 8.0235, 6 -> 4
a : -2.0874, 7 -> 6
b : -8.7787, 7 -> 3
c : -8.2452, 7 -> 4
d : -9.9915, 7 -> 6
b : -9.6831, 0 -> 3
b : -6.9449, 0 -> 2
a : 2.8054, 1 -> 0
c : -5.5312, 1 -> 1
b : -9.0966, 2 -> 4
d : -6.3366, 2 -> 7
c : 4.9939, 3 -> 3
a : -6.3195, 3 -> 5
d : -5.2598, 4 -> 0
c : 5.5735, 4 -> 5
b : 4.8850, 5 -> 2
b : 5.3067, 5 -> 7
d : 6.1017, 6 -> 0
d : -6.1972, 6 -> 3
b : -8.7593, 7 -> 6
c : -4.8878, 7 -> 6
