a : -7.0700, 0 -> 0
b : -4.4300, 0 -> 4
c : -6.0763, 0 -> 6
d : 3.0704, 0 -> 4
a : -2.1585, 1 -> 3
b : -7.4195, 1 -> 0
c : -0.0245, 1 -> 5
d : 6.5399, 1 -> 6
a : -2.5105, 2 -> 4
b : -5.1511, 2 -> 0
c : 9.9221, 2 -> 6
d : -1.1309, 2 -> 5
a : 8.1525, 3 -> 0
b : 6.2104, 3 -> 4
c : 5.2223, 3 -> 7
d : 1.5343, 3 -> 6
a : 2.4506, 4 -> 4
b : -1.1833, 4 -> 3
c : 6.8271, 4 -> 2
d : -2.5452, 4 -> 1
a : -1.3161, 5 -> 7
b : -6.7661, 5 -> 0
c : -2.7072, 5 -> 6
d : -3.8197, 5 -> 4
a : -6.1949, 6 -> 4
b : 3.1233, 6 -> 2
c : -7.5304, 6 -> 3
d : -1.7606, 6 -> 1
a : -4.0613, 7 -> 5
b : -1.2520, 7 -> 1
c : -0.3092, 7 -> 5
d : -0.0396, 7 -> 5
d : -1.3918, 0 -> 3
a : 5.9669, 0 -> 4
c : 6.4091, 1 -> 1
a : 5.1810, 1 -> 4
a : 7.9289, 2 -> 1
d : 3.2456, 2 -> 4
c : -8.1779, 3 -> 1
d : -4.5523, 3 -> 3
b : 5.9131, 4 -> 4
c : 3.0485, 4 -> 1
a : 3.2418, 5 -> 2
a : 3.5305, 5 -> 0
a : 8.5141, 6 -> 2
c : 3.1452, 6 -> 6
b : -5.7524, 7 -> 1
a : -6.6422, 7 -> 3
