a : -6.4658, 0 -> 7
b : 3.5983, 0 -> 4
c : -2.8709, 0 -> 6
d : -1.4850, 0 -> 7
a : -5.7888, 1 -> 7
b : -6.8598, 1 -> 7
c : 4.3631, 1 -> 4
d : -1.6249, 1 -> 0
a : 9.6700, 2 -> 3
b : 5.9674, 2 -> 6
c : -5.1525, 2 -> 7
d : -9.2174, 2 -> 7
a : -8.6953, 3 -> 0
b : 0.3468, 3 -> 6
c : -8.6319, 3 -> 2
d : 0.3508, 3 -> 2
a : -0.4508, 4 -> 3
b : -6.6408, 4 -> 2
c : 3.0531, 4 -> 4
d : 0.1429, 4 -> 4
a : 6.9073, 5 -> 2
b : 1.8322, 5 -> 2
c : -7.8121, 5 -> 1
d : 4.5111, 5 -> 3
a : 9.6951, 6 -> 6
b : 9.2732, 6 -> 3
c : 1.5874, 6 -> 0
d : -2.9573, 6 -> 3
a : 7.7271, 7 -> 7
b : 5.4689, 7 -> 5
c : -8.7710, 7 -> 1
d : -8.3971, 7 -> 6
d : -2.9364, 0 -> 3
d : 0.5646, 0 -> 6
d : 5.5922, 1 -> 5
a : -5.9586, 1 -> 5
d : 0.9110, 2 -> 7
d : 4.4955, 2 -> 0
d : -0.0026, 3 -> 5
d : 7.8665, 3 -> 2
c : -4.0388, 4 -> 6
b : -8.1693, 4 -> 4
d : -4.0094, 5 -> 6
a : -6.3455, 5 -> 1
a : 6.6211, 6 -> 2
c : 1.9597, 6 -> 5
b : 7.4931, 7 -> 0
c : -0.8985, 7 -> 6
