a : -0.3054, 0 -> 1
b : -5.9472, 0 -> 5
c : 5.2599, 0 -> 6
d : -3.2917, 0 -> 0
a : -0.7746, 1 -> 2
b : 4.9079, 1 -> 4
c : -3.3407, 1 -> 5
d : -5.1442, 1 -> 0
a : 0.0071, 2 -> 4
b : -0.5991, 2 -> 7
c : -8.5771, 2 -> 1
d : -6.2447, 2 -> 6
a : 1.4461, 3 -> 4
b : 2.6297, 3 -> 5
c : 1.9719, 3 -> 5
d : 8.9071, 3 -> 7
a : 1.3955, 4 -> 3
b : 8.4130, 4 -> 3
c : 3.7790, 4 -> 5
d : -0.4064, 4 -> 3
a : -3.0869, 5 -> 1
b : -0.4265, 5 -> 7
c : -5.6645, 5 -> 6
d : 5.0333, 5 -> 6
a : -6.8709, 6 -> 3
b : -4.5214, 6 -> 3
c : 6.0259, 6 -> 6
d : 2.0771, 6 -> 2
a : 4.7068, 7 -> 0
b : -5.4242, 7 -> 5
c : 7.7478, 7 -> 1
d : -3.3010, 7 -> 3
d : -3.5415, 0 -> 0
d : -0.0659, 0 -> 6
c : 3.0814, 1 -> 3
b : -9.9079, 1 -> 6
a : -8.9333, 2 -> 0
d : 9.4796, 2 -> 3
d : 1.3586, 3 -> 0
a : -1.2887, 3 -> 2
c : -0.1884, 4 -> 4
b : 1.8599, 4 -> 1
d : 9.2833, 5 -> 7
b : 1.8572, 5 -> 5
b : -6.9682, 6 -> 2
c : 7.9104, 6 -> 0
d : 9.6164, 7 -> 7
d : -7.2255, 7 -> 7
