a : 7.1635, 0 -> 0
b : 9.2926, 0 -> 7
c : 6.0960, 0 -> 1
d : -1.5961, 0 -> 0
a : 4.8278, 1 -> 4
b : 5.6571, 1 -> 3
c : -1.7754, 1 -> 5
d : -1.5986, 1 -> 3
a : 1.3095, 2 -> 5
b : -6.3409, 2 -> 4
c : -5.6471, 2 -> 7
d : 7.3188, 2 -> 4
a : -7.9240, 3 -> 4
b : 5.5422, 3 -> 1
c : 7.2836, 3 -> 7
d : -9.9784, 3 -> 2
a : -9.7528, 4 -> 0
b : -3.7857, 4 -> 0
c : -5.8314, 4 -> 2
d : 3.3524, 4 -> 3
a : -9.9612, 5 -> 3
b : 1.6952, 5 -> 5
c : 2.6230, 5 -> 5
d : 5.8579, 5 -> 5
a : 1.4567, 6 -> 1
b : -5.2890, 6 -> 6
c : -9.3000, 6 -> 3
d : -8.7902, 6 -> 4
a : -4.1847, 7 -> 0
b : 2.6427, 7 -> 5
c : -0.9664, 7 -> 5
d : 9.3934, 7 -> 3
c : 7.8636, 0 -> 7
c : -9.8966, 0 -> 4
a : -0.1145, 1 -> 2
a : -4.9964, 1 -> 1
c : -4.9165, 2 -> 0
b : -9.1741, 2 -> 6
d : -5.9708, 3 -> 3
d : 1.3463, 3 -> 3
c : 7.9166, 4 -> 6
d : -8.5725, 4 -> 7
a : 5.9736, 5 -> 4
d : 0.2025, 5 -> 4
a : -7.0550, 6 -> 3
c : 4.9761, 6 -> 0
a : -9.1975, 7 -> 2
a : 1.1735, 7 -> 4
