a : 1.8682, 0 -> 4
b : -0.4857, 0 -> 3
c : 1.9150, 0 -> 5
d : -2.4407, 0 -> 2
a : 7.6848, 1 -> 1
b : 1.8681, 1 -> 2
c : 8.9479, 1 -> 0
d : 5.0821, 1 -> 5
a : -3.0357, 2 -> 4
b : 1.7175, 2 -> 1
c : 4.5671, 2 -> 0
d : 1.6581, 2 -> 7
a : 7.4950, 3 -> 2
b : -1.0181, 3 -> 5
c : 6.4668, 3 -> 5
d : 0.6517, 3 -> 5
a : 2.7272, 4 -> 5
b : 0.6674, 4 -> 6
c : 4.4011, 4 -> 5
d : 3.0939, 4 -> 7
a : -5.7254, 5 -> 0
b : -2.3350, 5 -> 2
c : -7.7291, 5 -> 0
d : 3.3956, 5 -> 4
a : 3.6683, 6 -> 3
b : -4.3299, 6 -> 0
c : -7.2746, 6 -> 0
d : 7.1116, 6 -> 5
a : -9.1663, 7 -> 5
b : 1.3977, 7 -> 5
c : -3.0387, 7 -> 1
d : 0.6655, 7 -> 0
b : 6.7448, 0 -> 0
d : -1.7691, 0 -> 3
b : -8.8528, 1 -> 7
a : 0.1246, 1 -> 2
d : -9.8163, 2 -> 2
d : 6.6187, 2 -> 4
c : 3.2140, 3 -> 4
c : -5.1195, 3 -> 5
c : -5.4557, 4 -> 5
a : 9.6990, 4 -> 5
a : 4.3059, 5 -> 7
c : -2.7125, 5 -> 4
c : -5.5229, 6 -> 1
c : -9.0212, 6 -> 5
d : -3.6844, 7 -> 1
b : 8.2515, 7 -> 7
