a : -9.1037, 0 -> 3
b : 2.4645, 0 -> 5
c : 8.1927, 0 -> 2
d : -0.2918, 0 -> 3
a : -2.3468, 1 -> 1
b : 9.8233, 1 -> 0
c : 0.9345, 1 -> 7
d : 6.0495, 1 -> 5
a : 7.2991, 2 -> 4
b : 0.2860, 2 -> 1
c : -1.1543, 2 -> 0
d : 8.6596, 2 -> 7
a : 7.6504, 3 -> 7
b : -2.3056, 3 -> 7
c : -7.9229, 3 -> 0
d : 1.3042, 3 -> 1
a : -5.9632, 4 -> 2
b : 5.9798, 4 -> 5
c : 8.6543, 4 -> 1
d : -4.8247, 4 -> 3
a : 4.4469, 5 -> 1
b : 0.1097, 5 -> 6
c : -6.2549, 5 -> 7
d : 6.9591, 5 -> 0
a : -2.8822, 6 -> 2
b : 3.2005, 6 -> 1
c : -2.9772, 6 -> 2
d : -7.9249, 6 -> 4
a : -9.0520, 7 -> 4
b : -8.4227, 7 -> 7
c : -8.5612, 7 -> 5
d : -2.3512, 7 -> 7
b : -8.3461, 0 -> 2
a : -0.9309, 0 -> 3
b : 6.6934, 1 -> 2
a : 0.0851, 1 -> 1
b : 8.6576, 2 -> 6
a : 3.7468, 2 -> 5
c : -4.8160, 3 -> 5
b : -4.8775, 3 -> 2
d : -5.0984, 4 -> 3
d : -2.5931, 4 -> 3
d : 4.1923, 5 -> 7
a : 9.9373, 5 -> 0
b : 1.3358, 6 -> 1
c : -7.7103, 6 -> 4
b : 9.7357, 7 -> 0
a : 9.2585, 7 -> 0
