a : 6.3215, 0 -> 3
b : -6.0080, 0 -> 2
c : -6.4962, 0 -> 1
d : -3.8920, 0 -> 1
a : 3.6603, 1 -> 7
b : -3.8507, 1 -> 2
c : -5.2772, 1 -> 4
d : 2.1934, 1 -> 5
a : -4.7847, 2 -> 1
b : 1.6123, 2 -> 7
c : -1.0509, 2 -> 4
d : 7.2847, 2 -> 5
a : -5.9509, 3 -> 6
b : 0.1796, 3 -> 2
c : 2.4307, 3 -> 7
d : -5.6431, 3 -> 2
a : -0.0009, 4 -> 7
b : 2.7339, 4 -> 5
c : 4.9733, 4 -> 3
d : -1.0438, 4 -> 2
a : 8.3637, 5 -> 5
b : -9.7295, 5 -> 6
c : 7.4278, 5 -> 0
d : -8.1075, 5 -> 5
a : -0.4380, 6 -> 0
b : 7.6779, 6 -> 0
c : 0.7041, 6 -> 0
d : 3.3193, 6 -> 4
a : 8.0579, 7 -> 1
b : -3.8199, 7 -> 5
c : -2.9680, 7 -> 4
d : -7.4433, 7 -> 2
b : -0.8356, 0 -> 0
b : 2.0874, 0 -> 7
b : -9.4300, 1 -> 6
d : -5.1338, 1 -> 4
d : -1.6895, 2 -> 3
b : -6.2631, 2 -> 1
c : -5.4359, 3 -> 1
a : -6.8502, 3 -> 0
a : 8.4489, 4 -> 0
b : 7.2427, 4 -> 2
c : 8.4022, 5 -> 3
c : -8.1235, 5 -> 2
c : 2.5966, 6 -> 7
a : 3.7247, 6 -> 7
c : 0.8643, 7 -> 7
a : 5.9231, 7 -> 1
