a : 8.6593, 0 -> 3
b : 5.1690, 0 -> 6
c : -8.5012, 0 -> 5
d : -2.6491, 0 -> 5
a : 2.8374, 1 -> 1
b : 9.7492, 1 -> 3
c : 7.0670, 1 -> 3
d : 8.5919, 1 -> 2
a : 5.3370, 2 -> 5
b : 1.0804, 2 -> 7
c : -3.0453, 2 -> 3
d : 0.4122, 2 -> 3
a : -6.9899, 3 -> 0
b : -0.4963, 3 -> 6
c : -7.2354, 3 -> 6
d : 7.6844, 3 -> 3
a : -7.6493, 4 -> 6
b : 5.2325, 4 -> 5
c : -1.7584, 4 -> 7
d : 0.5467, 4 -> 2
a : -9.8386, 5 -> 4
b : -1.6984, 5 -> 6
c : 8.2829, 5 -> 0
d : -1.8911, 5 -> 1
a : 0.9432, 6 -> 2
b : -9.6894, 6 -> 4
c : 5.8283, 6 -> 2
d : -1.3735, 6 -> 4
a : -4.5230, 7 -> 7
b : 3.2992, 7 -> 7
c : 8.9937, 7 -> 7
d : -8.8159, 7 -> 6
b : -5.6863, 0 -> 6
d : -4.3009, 0 -> 7
c : 9.4037, 1 -> 4
b : 0.7245, 1 -> 5
d : -7.3529, 2 -> 1
a : 7.6409, 2 -> 1
d : -6.0249, 3 -> 6
c : 4.6314, 3 -> 6
c : -9.5510, 4 -> 0
a : -6.2472, 4 -> 2
b : 3.1013, 5 -> 7
c : -4.2186, 5 -> 3
b : -3.0468, 6 -> 7
a : -1.9917, 6 -> 7
b : -4.5362, 7 -> 5
a : 9.1390, 7 -> 1
