a : 3.8448, 0 -> 4
b : 3.6020, 0 -> 7
c : -8.5638, 0 -> 4
d : 3.7737, 0 -> 1
a : -5.1583, 1 -> 6
b : -2.3913, 1 -> 3
c : 4.2764, 1 -> 5
d : -7.6849, 1 -> 3
a : 5.7076, 2 -> 5
b : -2.5916, 2 -> 3
c : 0.1079, 2 -> 6
d : -1.7598, 2 -> 0
a : -8.8038, 3 -> 2
b : -9.0506, 3 -> 2
c : -4.1804, 3 -> 5
d : 6.8435, 3 -> 4
a : -3.5461, 4 -> 2
b : 1.3192, 4 -> 2
c : 4.6748, 4 -> 0
d : -2.3714, 4 -> 4
a : 0.7660, 5 -> 5
b : 6.1975, 5 -> 7
c : 0.2759, 5 -> 6
d : 0.6595, 5 -> 2
a : -8.5597, 6 -> 2
b : 7.7485, 6 -> 3
c : 2.4451, 6 -> 2
d : 8.2132, 6 -> 5
a : -4.5473, 7 -> 5
b : -9.7495, 7 -> 5
c : -4.5920, 7 -> 5
d : -0.8544, 7 -> 4
d : -7.9389, 0 -> 1
d : 1.0278, 0 -> 6
d : 7.5105, 1 -> 4
b : -3.6106, 1 -> 3
c : 6.1540, 2 -> 5
d : -2.4987, 2 -> 5
b : 6.3135, 3 -> 5
a : 5.2308, 3 -> 6
d : 5.7669, 4 -> 1
d : 3.9850, 4 -> 6
c : 5.5161, 5 -> 3
a : -9.6746, 5 -> 7
a : 8.7485, 6 -> 7
b : -8.8894, 6 -> 0
a : 7.1902, 7 -> 5
b : 8.6687, 7 -> 6
