a : 8.1714, 0 -> 2
b : 1.7389, 0 -> 5
c : 7.2178, 0 -> 3
d : 6.5497, 0 -> 1
a : 5.6996, 1 -> 6
b : 9.8589, 1 -> 0
c : 2.6416, 1 -> 6
d : 3.8111, 1 -> 3
a : -1.7202, 2 -> 6
b : -9.7867, 2 -> 7
c : -7.2110, 2 -> 7
d : 3.3629, 2 -> 7
a : -3.7173, 3 -> 1
b : 3.5535, 3 -> 3
c : 8.4647, 3 -> 1
d : -8.5007, 3 -> 0
a : -3.8349, 4 -> 6
b : -7.8750, 4 -> 2
c : -1.9125, 4 -> 5
d : -5.0153, 4 -> 3
a : 3.1340, 5 -> 0
b : -2.4717, 5 -> 4
c : 6.8476, 5 -> 1
d : -9.1999, 5 -> 3
a : -5.0571, 6 -> 1
b : 5.5873, 6 -> 4
c : 8.3513, 6 -> 4
d : -1.5463, 6 -> 5
a : -4.5523, 7 -> 2
b : 2.0452, 7 -> 6
c : -7.8020, 7 -> 3
d : -9.9476, 7 -> 3
c : 2.0301, 0 -> 4
c : -5.1663, 0 -> 6
b : 8.9981, 1 -> 2
a : -3.2592, 1 -> 5
d : -9.9169, 2 -> 7
d : -2.2713, 2 -> 2
a : -5.4796, 3 -> 2
b : 4.9324, 3 -> 5
b : 0.4340, 4 -> 5
a : -6.6518, 4 -> 2
b : -9.0774, 5 -> 5
c : -8.4114, 5 -> 2
b : -1.1442, 6 -> 5
c : 5.9392, 6 -> 0
b : -6.6668, 7 -> 6
a : -7.9008, 7 -> 3
