a : 8.2682, 0 -> 5
b : 5.6233, 0 -> 6
c : -4.7057, 0 -> 7
d : -8.1111, 0 -> 5
a : -1.1036, 1 -> 1
b : -1.1430, 1 -> 2
c : -2.4436, 1 -> 1
d : 8.3572, 1 -> 4
a : -8.4738, 2 -> 0
b : -7.1653, 2 -> 4
c : -5.2280, 2 -> 0
d : -1.5223, 2 -> 0
a : -1.6754, 3 -> 2
b : 0.6323, 3 -> 7
c : -5.7639, 3 -> 4
d : -8.0744, 3 -> 2
a : 3.7114, 4 -> 4
b : -9.1916, 4 -> 7
c : 0.3899, 4 -> 0
d : -9.7219, 4 -> 4
a : 6.7808, 5 -> 4
b : -0.7961, 5 -> 3
c : 4.6548, 5 -> 6
d : 0.6327, 5 -> 5
a : -2.3286, 6 -> 5
b : -5.3771, 6 -> 3
c : -3.1185, 6 -> 7
d : 9.7216, 6 -> 5
a : -9.8960, 7 -> 6
b : 5.2151, 7 -> 1
c : 1.4096, 7 -> 5
d : 6.4394, 7 -> 0
a : 2.0183, 0 -> 3
b : 0.8297, 0 -> 3
a : -7.8782, 1 -> 1
c : -8.4188, 1 -> 1
c : -8.7244, 2 -> 6
a : -5.0130, 2 -> 3
b : -6.0838, 3 -> 4
c : -9.2569, 3 -> 2
d : -2.1937, 4 -> 7
b : -0.2834, 4 -> 2
c : 1.6357, 5 -> 3
d : 6.5051, 5 -> 2
c : 6.4551, 6 -> 5
c : 0.7264, 6 -> 2
c : 7.4286, 7 -> 0
d : -4.8152, 7 -> 2
