a : -9.7375, 0 -> 3
b : -6.2397, 0 -> 0
c : 8.0624, 0 -> 6
d : 4.8819, 0 -> 6
a : -4.2950, 1 -> 4
b : 8.8624, 1 -> 0
c : 8.3233, 1 -> 5
d : -8.3595, 1 -> 6
a : 2.8591, 2 -> 4
b : -2.7383, 2 -> 3
c : -0.4434, 2 -> 5
d : 7.7445, 2 -> 5
a : -0.3052, 3 -> 1
b : -1.3965, 3 -> 7
c : 0.8869, 3 -> 6
d : 3.4793, 3 -> 6
a : 2.6968, 4 -> 2
b : -0.8981, 4 -> 5
c : -0.8594, 4 -> 3
d : 5.8149, 4 -> 4
a : 2.5505, 5 -> 4
b : 1.8817, 5 -> 2
c : -7.3186, 5 -> 1
d : 5.5729, 5 -> 2
a : -9.9370, 6 -> 1
b : 9.3360, 6 -> 5
c : -5.8232, 6 -> 0
d : -7.6109, 6 -> 7
a : 3.2644, 7 -> 6
b : 6.9193, 7 -> 0
c : -5.3846, 7 -> 1
d : -0.7009, 7 -> 3
c : -2.3866, 0 -> 5
d : -7.1462, 0 -> 2
a : 1.7516, 1 -> 5
d : 4.4809, 1 -> 1
a : 8.9117, 2 -> 0
d : -4.3324, 2 -> 2
b : -9.6433, 3 -> 5
b : 8.1595, 3 -> 1
c : -7.6070, 4 -> 3
b : 9.0800, 4 -> 7
d : -8.0354, 5 -> 1
a : -2.6189, 5 -> 1
c : 8.5588, 6 -> 1
b : 0.2368, 6 -> 5
a : 3.3411, 7 -> 1
a : -1.8917, 7 -> 2
