a : 8.3110, 0 -> 6
b : -6.7024, 0 -> 0
c : 7.5529, 0 -> 5
d : -0.5753, 0 -> 1
a : 6.4141, 1 -> 5
b : 3.5910, 1 -> 6
c : 2.6154, 1 -> 5
d : -6.6301, 1 -> 1
a : 7.3314, 2 -> 0
b : -5.7521, 2 -> 2
c : 1.0004, 2 -> 1
d : 7.2024, 2 -> 0
a : -8.3930, 3 -> 5
b : 0.6170, 3 -> 4
c : 5.7727, 3 -> 6
d : 8.2725, 3 -> 6
a : -4.5222, 4 -> 7
b : 2.0228, 4 -> 4
c : 3.6909, 4 -> 0
d : -3.1962, 4 -> 0
a : 3.2412, 5 -> 1
b : 4.4046, 5 -> 4
c : -4.4990, 5 -> 1
d : 1.6910, 5 -> 1
a : 2.2389, 6 -> 2
b : 1.6775, 6 -> 2
c : -4.6825, 6 -> 5
d : 6.7048, 6 -> 5
a : -1.1599, 7 -> 2
b : 3.8587, 7 -> 6
c : -9.3238, 7 -> 0
d : 4.6992, 7 -> 4
a : 4.1120, 0 -> 7
b : -1.1679, 0 -> 1
c : 4.8745, 1 -> 3
b : 5.2349, 1 -> 7
c : 3.0374, 2 -> 1
d : -1.3231, 2 -> 3
d : -3.0540, 3 -> 1
c : -1.2597, 3 -> 1
b : -3.6458, 4 -> 1
c : 9.7615, 4 -> 1
c : -8.7135, 5 -> 0
d : 6.0150, 5 -> 1
d : 6.1949, 6 -> 0
d : 5.9862, 6 -> 0
b : 9.9990, 7 -> 0
c : -0.6441, 7 -> 6
