a : -4.0408, 0 -> 2
b : -4.7982, 0 -> 0
c : 1.0047, 0 -> 0
d : -0.4386, 0 -> 7
a : 7.6088, 1 -> 1
b : 8.1136, 1 -> 7
c : 2.5485, 1 -> 4
d : 0.1253, 1 -> 2
a : -0.9795, 2 -> 0
b : 9.9105, 2 -> 2
c : 5.6981, 2 -> 7
d : 3.0861, 2 -> 1
a : 9.5795, 3 -> 0
b : 2.6682, 3 -> 7
c : -0.2459, 3 -> 3
d : 4.1526, 3 -> 4
a : -8.0951, 4 -> 7
b : 1.1053, 4 -> 3
c : 7.6322, 4 -> 6
d : -1.3486, 4 -> 0
a : -0.8570, 5 -> 6
b : 3.8842, 5 -> 6
c : -1.0349, 5 -> 6
d : 2.2179, 5 -> 0
a : 9.9733, 6 -> 7
b : -3.9457, 6 -> 7
c : 8.6659, 6 -> 7
d : -6.4925, 6 -> 5
a : -5.5870, 7 -> 2
b : -3.9781, 7 -> 3
c : 6.8580, 7 -> 0
d : 6.0208, 7 -> 0
b : 3.6433, 0 -> 3
c : 5.6107, 0 -> 5
a : 1.9602, 1 -> 4
b : -6.6083, 1 -> 7
b : 5.9922, 2 -> 1
d : 7.8292, 2 -> 7
b : 8.4541, 3 -> 7
c : 9.3170, 3 -> 0
d : 6.7064, 4 -> 6
a : -1.2162, 4 -> 2
c : 5.8130, 5 -> 7
c : 2.5984, 5 -> 3
d : 3.5207, 6 -> 1
a : -7.2618, 6 -> 1
c : 1.9303, 7 -> 1
c : -8.4193, 7 -> 3
