a : 7.0294, 0 -> 7
b : -2.0207, 0 -> 1
c : -9.0850, 0 -> 6
d : -8.5563, 0 -> 1
a : 0.3411, 1 -> 5
b : -5.2974, 1 -> 6
c : -1.0447, 1 -> 5
d : 8.5840, 1 -> 1
a : 0.4476, 2 -> 0
b : 3.9480, 2 -> 0
c : -1.8372, 2 -> 0
d : 5.0751, 2 -> 3
a : -1.3249, 3 -> 4
b : -6.1375, 3 -> 1
c : -0.6652, 3 -> 3
d : -8.0163, 3 -> 7
a : 6.4337, 4 -> 3
b : 7.1142, 4 -> 3
c : 5.7351, 4 -> 7
d : 0.6393, 4 -> 7
a : 9.2222, 5 -> 5
b : 9.3478, 5 -> 6
c : 6.3722, 5 -> 0
d : 8.0859, 5 -> 0
a : -1.0541, 6 -> 4
b : 8.7033, 6 -> 0
c : 8.3560, 6 -> 2
d : 3.1789, 6 -> 6
a : 1.3939, 7 -> 0
b : -2.0531, 7 -> 2
c : 7.8941, 7 -> 6
d : 1.2024, 7 -> 3
c : -9.2216, 0 -> 3
b : 4.7541, 0 -> 3
d : 4.9443, 1 -> 4
b : 4.0778, 1 -> 1
a : -8.9909, 2 -> 4
a : 5.4614, 2 -> 2
a : -3.9140, 3 -> 0
d : 9.0090, 3 -> 6
b : 1.9666, 4 -> 5
c : 7.7452, 4 -> 4
b : -0.0023, 5 -> 2
d : -4.0358, 5 -> 5
a : 6.0062, 6 -> 5
d : -3.2434, 6 -> 3
c : 2.2823, 7 -> 3
a : -3.0240, 7 -> 0
